Dish,Ingredients
Pecan Pie,"Pie crust, pecans, eggs, corn syrup, sugar, butter, vanilla extract, salt"
Raspberry Tart,"Tart crust, raspberries, sugar, cornstarch, water, lemon juice, sugar"
Pumpkin Pie,"Pie crust, pumpkin puree, eggs, cream, sugar, cinnamon, ginger, nutmeg"
Baklava,"Phyllo dough, nuts, butter, sugar, honey, cinnamon, lemon juice"
Cannoli,"Cannoli shells, ricotta cheese, powdered sugar, chocolate chips, vanilla extract"
Panettone,"Flour, sugar, eggs, butter, yeast, dried fruits (raisins, candied orange peel), lemon zest, vanilla extract"
Panna Cotta,"Cream, sugar, gelatin, vanilla extract"
Mochi,"Glutinous rice flour, sugar, water, cornstarch, sweet filling"
Gelato,"Milk, sugar, cocoa or fruit purees, sometimes eggs"
Pastel de Nata,"Puff pastry, egg yolks, sugar, cream, vanilla extract"
Churros,"Water, butter, salt, flour, eggs, sugar, cinnamon, oil"
Chocolate Cake,"Flour, sugar, cocoa powder, baking powder, eggs, milk, vegetable oil, vanilla extract"
Apple Pie,"Apples, sugar, cinnamon, pie crust, butter, flour, lemon juice, nutmeg"
Cheesecake,"Cream cheese, sugar, eggs, vanilla extract, graham cracker crust, sour cream"
Brownies,"Butter, sugar, cocoa powder, flour, eggs, vanilla extract, salt"
Tiramisu,"Ladyfingers, espresso, mascarpone cheese, sugar, cocoa powder, rum or coffee liqueur, eggs"
Strawberry Shortcake,"Flour, sugar, baking powder, butter, heavy cream, strawberries, whipped cream"
Carrot Cake,"Flour, sugar, carrots, eggs, vegetable oil, cinnamon, baking soda, cream cheese frosting"
Peach Cobbler,"Peaches, sugar, flour, baking powder, butter, milk, cinnamon"
Chocolate Chip Cookies,"Flour, sugar, brown sugar, butter, eggs, vanilla extract, baking soda, chocolate chips"
Poached Pears,"Pears, sugar, water, vanilla extract, cinnamon"
Chocolate Mousse,"Dark chocolate, heavy cream, sugar, eggs"
Rice Pudding,"Rice, milk, sugar, cinnamon, vanilla"
Almond Biscotti,"Flour, sugar, almonds, eggs, vanilla extract, baking powder"
Macaroons,"Almond flour, powdered sugar, egg whites, granulated sugar, vanilla extract, food coloring"
Grilled Salmon,"Salmon fillets, olive oil, lemon, garlic, salt, pepper, dill"
Sushi Roll,"Sushi rice, nori sheets, raw fish (like tuna or salmon), cucumber, avocado, soy sauce, wasabi"
Spaghetti Carbonara,"Spaghetti, eggs, parmesan cheese, pancetta or bacon, black pepper, garlic"
Mac and Cheese,"Macaroni, cheddar cheese, milk, butter, flour, salt, pepper, breadcrumbs"
Chicken Curry,"Chicken, onions, garlic, ginger, tomatoes, curry powder, coconut milk, cilantro"
Beef Tacos,"Ground beef, taco shells, lettuce, tomato, cheese, sour cream, taco seasoning"
Paella,"Rice, chicken, shrimp, mussels, peas, bell peppers, saffron, chicken broth, tomatoes, onions, garlic"
Paella,"Rice, chicken, shrimp, mussels, peas, bell peppers, saffron, chicken broth, tomatoes, onions, garlic"
Pad Thai,"Rice noodles, shrimp or tofu, eggs, bean sprouts, peanuts, tamarind paste, fish sauce, garlic, lime, green onions"
Texas Brisket,"Beef brisket, paprika, brown sugar, garlic powder, onion powder, black pepper, salt, cayenne pepper, wood chips"
Fajitas,"Skirt steak or chicken breast, bell peppers, onions, fajita seasoning, lime, tortillas, olive oil, salsa, sour cream"
Shrimp and Grits,"Shrimp, grits, cheese, butter, green onions, garlic, lemon juice, bacon, chicken broth, salt, pepper"
King Ranch Chicken Casserole,"Cooked chicken, tortillas, cheddar cheese, cream of chicken soup, cream of mushroom soup, tomatoes with green chilis, onion, bell pepper, chili powder, cumin"
Tacos,"Tortillas, Ground beef, Lettuce, Tomato, Cheese, Salsa"
Burrito,"Flour tortilla, Refried beans, Rice, Cheese, Salsa, Chicken"
Enchiladas,"Corn tortillas, Cheese, Enchilada sauce, Onions, Chicken"
Guacamole,"Avocado, Lime, Salt, Onion, Tomato, Garlic"
Quesadilla,"Flour tortillas, Cheese, Chicken, Peppers, Onions, Salsa"
Chiles Rellenos,"Poblano peppers, Cheese, Flour, Eggs, Tomato sauce"
Nachos,"Tortilla chips, Cheese, Jalapenos, Beans, Sour cream, Salsa"
Hamburger,"Ground beef, Bun, Lettuce, Tomato, Onion, Ketchup, Mustard"
Cheeseburger,"Ground beef, Bun, Cheese, Lettuce, Tomato, Onion, Ketchup, Mustard"
BBQ Ribs,"Pork ribs, BBQ sauce, Garlic powder, Onion powder, Black pepper, Salt"
Fried Chicken,"Chicken, Flour, Eggs, Buttermilk, Paprika, Garlic powder, Salt, Pepper"
Macaroni and Cheese,"Macaroni, Cheddar cheese, Milk, Butter, Flour, Salt, Pepper"
Clam Chowder,"Clams, Potatoes, Onion, Celery, Milk, Butter, Flour, Salt, Pepper"
Veggie Pizza,"Pizza dough, tomato sauce, mozzarella cheese, bell peppers, onions, mushrooms, olives, spinach"
Vegetable Stir Fry,"Broccoli, bell peppers, carrots, snow peas, soy sauce, garlic, ginger, sesame oil"
Stuffed Bell Peppers,"Bell peppers, quinoa, black beans, corn, tomato sauce, onions, garlic, cumin, cheese"
